,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,Show_title
0,the good nurse,tt4273800,movie,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,2022,R,121 min,"Biography, Crime, Drama",United States,tt4273800,7.1,204,the good nurse
1,the school for good and evil,tt2935622,movie,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,2022,PG-13,147 min,"Action, Comedy, Drama",United States,tt2935622,5.8,"18,952",the school for good and evil
2,wild is the wind,tt0051193,movie,"An immigrant Nevada rancher brings a woman from Italy to be his second wife, but when he neglects her she becomes involved with his trusted assistant.",1957,Not Rated,114 min,Drama,United States,tt0051193,6.7,"1,027",wild is the wind
3,the curse of bridge hollow,tt15289240,movie,"A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her fat...",2022,TV-14,89 min,"Adventure, Comedy, Family",United States,tt15289240,N/A,"4,085",the curse of bridge hollow
4,luckiest girl alive,tt4595186,movie,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.",2022,R,113 min,"Drama, Mystery, Thriller",United States,tt4595186,6.4,"13,563",luckiest girl alive
5,sing,tt3470600,movie,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,PG,108 min,"Animation, Comedy, Family","Japan, United States, France",tt3470600,7.1,"169,979",sing
6,the boss baby,tt3874544,movie,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",2017,PG,97 min,"Animation, Adventure, Comedy",United States,tt3874544,6.3,"127,311",the boss baby
7,blade of the 47 ronin,tt12610794,movie,"Ancient Japanese Ronin warriors set 300 years after 47 Ronin, in a modern-day world where Samurai clans exist in complete secrecy.",2022,R,N/A,"Action, Drama, Fantasy",United States,tt12610794,N/A,N/A,blade of the 47 ronin
8,all quiet on the western front,tt0020629,movie,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",1930,Passed,152 min,"Drama, War",United States,tt0020629,8.1,"61,923",all quiet on the western front
9,the chalk line,tt4809364,movie,"Mr. and Mrs. Love, with their young son, are so happy that hubby is usually late for work. The stenographer in Mr. Love's office who is in love with the bookkeeper places a note and handkerchief in Mr. Love's pocket by mistake. Hu...",1916,N/A,N/A,"Short, Comedy",United States,tt4809364,N/A,N/A,the chalk line
10,20th century girl,tt15340724,movie,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.",2022,TV-PG,119 min,"Drama, Romance",South Korea,tt15340724,7.3,"1,183",20th century girl
11,beyond the universe,tt0130503,movie,A 21st-century scientist tries to save Earth after two atomic wars.,1981,N/A,93 min,Sci-Fi,United States,tt0130503,3.8,88,beyond the universe
12,hellhole,tt19724142,movie,"In 1987 Poland, a police officer investigating mysterious disappearances infiltrates a remote monastery and discovers a dark truth about its clergy.",2022,TV-MA,91 min,Horror,Poland,tt19724142,5.6,"2,465",hellhole
